Word,Meaning,Category
 abound , large numbers or amounts,easy
 amorphous , without a clearly defined shape or form,hard
 austere , strict in manner or having no comforts or luxuries ,hard
 belie , fail to give true impression of something or contradict or fail to justify ,hard
 capricious , sudden change of mood or unpredictable,hard
 cerebral , of the cerebrum of the brain or intellectual rather than physical,hard
 congenial , pleasant or agreeable because suited to one's taste ,medium
 conspicuous , clearly visible ,hard
 cursory , hasty and therefore not through or detailed ,easy
 daunting , difficult to deal with ,medium
 deify , worship or regard as a god ,easy
 didactic , instructive or particularly so as to appear patronizing ,hard
 disseminate , spread widely ,medium
 feasible , possible to do easily or conveniently ,medium
 flout , openly disregard or mock or scoff,hard
 homogeneous , of the same kind ,easy
 humdrum , lacking excitement or variety or boringly monotonous ,easy
 insipid , tasteless or lacking interest ,easy
 loquacious , talkative ,medium
 misanthropic , having or showing dislike of other people ,medium
 misnomer , a wrong or inaccurate name or designation ,hard
 negligent , failing to take proper care over something ,easy
 obsequious , obedient to an excessive or servile degree ,hard
 placate , make less angry ,medium
 proclivity , a tendency to choose or do something regularly ,hard
 puerile , childishly silly ,hard
 quixotic , extremely idealistic or unrealistic or impractical ,hard
 spendthrift , a person who spends money in an irresponsible way ,hard
 taciturn , saying little  wary,medium
,,
